hodnota,obdobi,rok,tyden,ukazatel_txt,polozka_txt
29.21,2017-W41,2017,41,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.99,2017-W41,2017,41,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.91,2017-W41,2017,41,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.19,2017-W42,2017,42,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.99,2017-W42,2017,42,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.95,2017-W42,2017,42,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.24,2017-W43,2017,43,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30,2017-W43,2017,43,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.05,2017-W43,2017,43,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.22,2017-W44,2017,44,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
29.99,2017-W44,2017,44,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.06,2017-W44,2017,44,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.48,2017-W45,2017,45,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.19,2017-W45,2017,45,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
13.96,2017-W45,2017,45,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.78,2017-W46,2017,46,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.51,2017-W46,2017,46,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.08,2017-W46,2017,46,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.86,2017-W47,2017,47,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.6,2017-W47,2017,47,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.12,2017-W47,2017,47,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
29.87,2017-W48,2017,48,Pr?m?rná cena pohonných hmot,Motorová nafta [1 l]
30.49,2017-W48,2017,48,Pr?m?rná cena pohonných hmot,Benzin automobilový Natural 95 oktanu [1 l]
14.07,2017-W48,2017,48,Pr?m?rná cena pohonných hmot,Plyn LPG [1 l]
